window,group,concept,volume,share_of_concept,share_of_group
climax_w1,neutral,military_action,102,0.01564897207732433,0.26424870466321243
climax_w1,neutral,nuclear_program,194,0.055827338129496404,0.5025906735751295
climax_w1,neutral,deterrence,14,0.012142237640936688,0.03626943005181347
climax_w1,neutral,diplomacy,34,0.020987654320987655,0.08808290155440414
climax_w1,neutral,strike_claims,42,0.05017921146953405,0.10880829015544041
climax_w1,other,military_action,249,0.03820190242405646,0.42203389830508475
climax_w1,other,nuclear_program,111,0.03194244604316547,0.188135593220339
climax_w1,other,deterrence,62,0.053772766695576756,0.10508474576271186
climax_w1,other,diplomacy,137,0.08456790123456791,0.23220338983050848
climax_w1,other,strike_claims,31,0.037037037037037035,0.05254237288135593
climax_w2,us_aligned,military_action,6922,0.5797805511349359,0.5022857557506712
climax_w2,us_aligned,nuclear_program,3185,0.5242798353909465,0.2311153036789783
climax_w2,us_aligned,deterrence,1132,0.5304592314901593,0.08214207967491474
climax_w2,us_aligned,diplomacy,1296,0.5415796071876305,0.09404252231332995
climax_w2,us_aligned,strike_claims,1246,0.5891252955082742,0.09041433858210579
climax_w2,iran_aligned,military_action,4184,0.3504481112320965,0.4665477252453167
climax_w2,iran_aligned,nuclear_program,2491,0.4100411522633745,0.2777653880463872
climax_w2,iran_aligned,deterrence,797,0.373477038425492,0.08887154326494201
climax_w2,iran_aligned,diplomacy,781,0.32636857501044714,0.08708742194469224
climax_w2,iran_aligned,strike_claims,715,0.3380614657210402,0.07972792149866191
climax_w2,neutral,military_action,208,0.017421894631041126,0.2880886426592798
climax_w2,neutral,nuclear_program,257,0.04230452674897119,0.3559556786703601
climax_w2,neutral,deterrence,64,0.02999062792877226,0.0886426592797784
climax_w2,neutral,diplomacy,157,0.06560802340158796,0.21745152354570638
climax_w2,neutral,strike_claims,36,0.01702127659574468,0.04986149584487535
climax_w2,other,military_action,625,0.05234944300192646,0.5274261603375527
climax_w2,other,nuclear_program,142,0.02337448559670782,0.11983122362869199
climax_w2,other,deterrence,141,0.06607310215557638,0.1189873417721519
climax_w2,other,diplomacy,159,0.06644379440033431,0.1341772151898734
climax_w2,other,strike_claims,118,0.055791962174940896,0.09957805907172995
aftermath_jun-jul,us_aligned,military_action,4615,0.5535564351685258,0.44213450852653763
aftermath_jun-jul,us_aligned,nuclear_program,2526,0.46314631463146316,0.2420003832151753
aftermath_jun-jul,us_aligned,deterrence,657,0.535889070146819,0.06294309254646484
aftermath_jun-jul,us_aligned,diplomacy,1593,0.5343844347534384,0.15261544357156542
aftermath_jun-jul,us_aligned,strike_claims,1047,0.5598930481283423,0.10030657214025675
aftermath_jun-jul,iran_aligned,military_action,2912,0.3492863140218304,0.40027491408934707
aftermath_jun-jul,iran_aligned,nuclear_program,2346,0.43014301430143015,0.3224742268041237
aftermath_jun-jul,iran_aligned,deterrence,388,0.3164763458401305,0.05333333333333334
