article_id,window,links_A,mil_A,links_B,mil_B,share_A,share_B,phase
0515,aftermath_jun-jul,4,4,3,3,1.0,1.0,other
0516,aftermath_jun-jul,15,10,8,5,0.6666666666666666,0.625,other
0517,aftermath_jun-jul,11,7,7,4,0.6363636363636364,0.5714285714285714,other
0518,aftermath_jun-jul,6,3,3,2,0.5,0.6666666666666666,other
0519,aftermath_jun-jul,34,3,16,1,0.08823529411764706,0.0625,other
0520,aftermath_jun-jul,95,37,49,17,0.3894736842105263,0.3469387755102041,other
0521,aftermath_jun-jul,4,1,3,1,0.25,0.3333333333333333,other
0522,aftermath_jun-jul,13,7,4,2,0.5384615384615384,0.5,other
0523,aftermath_jun-jul,6,6,4,4,1.0,1.0,other
0524,aftermath_jun-jul,9,7,6,4,0.7777777777777778,0.6666666666666666,other
0525,aftermath_jun-jul,19,8,9,3,0.42105263157894735,0.3333333333333333,other
0526,aftermath_jun-jul,2,0,1,0,0.0,0.0,other
0527,aftermath_jun-jul,13,2,5,1,0.15384615384615385,0.2,other
0528,aftermath_jun-jul,36,9,13,3,0.25,0.23076923076923078,other
0529,aftermath_jun-jul,6,2,5,1,0.3333333333333333,0.2,other
0530,aftermath_jun-jul,28,8,13,3,0.2857142857142857,0.23076923076923078,other
0531,aftermath_jun-jul,6,6,4,4,1.0,1.0,other
0532,aftermath_jun-jul,7,2,4,1,0.2857142857142857,0.25,other
0533,aftermath_jun-jul,19,5,5,1,0.2631578947368421,0.2,other
0534,aftermath_jun-jul,76,4,38,1,0.05263157894736842,0.02631578947368421,other
0535,aftermath_jun-jul,45,10,21,5,0.2222222222222222,0.23809523809523808,other
0536,aftermath_jun-jul,24,8,13,4,0.3333333333333333,0.3076923076923077,other
0537,aftermath_jun-jul,22,1,14,1,0.045454545454545456,0.07142857142857142,other
0538,aftermath_jun-jul,13,7,5,3,0.5384615384615384,0.6,other
0539,aftermath_jun-jul,20,4,5,1,0.2,0.2,other
0540,aftermath_jun-jul,19,8,10,3,0.42105263157894735,0.3,other
0541,aftermath_jun-jul,32,5,11,2,0.15625,0.18181818181818182,other
0542,aftermath_jun-jul,11,7,5,3,0.6363636363636364,0.6,other
0543,aftermath_jun-jul,6,4,2,1,0.6666666666666666,0.5,other
0544,aftermath_jun-jul,4,1,4,1,0.25,0.25,other
0545,aftermath_jun-jul,17,9,7,4,0.5294117647058824,0.5714285714285714,other
0546,aftermath_jun-jul,12,7,5,3,0.5833333333333334,0.6,other
0547,aftermath_jun-jul,7,5,4,3,0.7142857142857143,0.75,other
0548,aftermath_jun-jul,6,4,3,2,0.6666666666666666,0.6666666666666666,other
0549,aftermath_jun-jul,2,0,1,0,0.0,0.0,other
0550,aftermath_jun-jul,7,5,4,2,0.7142857142857143,0.5,other
0551,aftermath_jun-jul,23,8,15,5,0.34782608695652173,0.3333333333333333,other
0552,aftermath_jun-jul,9,3,3,1,0.3333333333333333,0.3333333333333333,other
0553,aftermath_jun-jul,16,1,8,1,0.0625,0.125,other
0554,aftermath_jun-jul,14,8,9,5,0.5714285714285714,0.5555555555555556,other
0555,aftermath_jun-jul,16,3,7,1,0.1875,0.14285714285714285,other
0556,aftermath_jun-jul,8,5,4,3,0.625,0.75,other
0557,aftermath_jun-jul,9,2,5,2,0.2222222222222222,0.4,other
0558,aftermath_jun-jul,12,2,7,2,0.16666666666666666,0.2857142857142857,other
0559,aftermath_jun-jul,13,4,4,1,0.3076923076923077,0.25,other
0560,aftermath_jun-jul,80,33,52,21,0.4125,0.40384615384615385,other
0561,aftermath_jun-jul,10,0,4,0,0.0,0.0,other
0562,aftermath_jun-jul,21,4,11,1,0.19047619047619047,0.09090909090909091,other
0563,aftermath_jun-jul,21,0,9,0,0.0,0.0,other
0564,aftermath_jun-jul,10,6,5,3,0.6,0.6,other
0565,aftermath_aug,48,10,16,3,0.20833333333333334,0.1875,other
0566,aftermath_aug,20,11,9,5,0.55,0.5555555555555556,other
0567,aftermath_aug,35,13,15,5,0.37142857142857144,0.3333333333333333,other
0568,aftermath_aug,29,18,10,6,0.6206896551724138,0.6,other
0569,aftermath_aug,13,10,6,5,0.7692307692307693,0.8333333333333334,other
0570,aftermath_aug,23,10,10,5,0.43478260869565216,0.5,other
0571,aftermath_aug,33,5,13,2,0.15151515151515152,0.15384615384615385,other
