window,group,concept,volume,share_of_concept,share_of_group
climax_w1,neutral,strike_claims,19,0.0892018779342723,0.16964285714285715
climax_w1,other,military_action,19,0.023170731707317073,0.3584905660377358
climax_w1,other,nuclear_program,6,0.02654867256637168,0.11320754716981132
climax_w1,other,deterrence,3,0.023076923076923078,0.05660377358490566
climax_w1,other,diplomacy,10,0.11363636363636363,0.18867924528301888
climax_w1,other,strike_claims,15,0.07042253521126761,0.2830188679245283
climax_w2,us_aligned,military_action,213,0.47757847533632286,0.598314606741573
climax_w2,us_aligned,nuclear_program,58,0.41134751773049644,0.16292134831460675
climax_w2,us_aligned,deterrence,18,0.45,0.05056179775280899
climax_w2,us_aligned,diplomacy,26,0.3880597014925373,0.07303370786516854
climax_w2,us_aligned,strike_claims,41,0.45555555555555555,0.1151685393258427
climax_w2,iran_aligned,military_action,199,0.4461883408071749,0.5818713450292398
climax_w2,iran_aligned,nuclear_program,56,0.3971631205673759,0.16374269005847952
climax_w2,iran_aligned,deterrence,16,0.4,0.04678362573099415
climax_w2,iran_aligned,diplomacy,31,0.4626865671641791,0.09064327485380116
climax_w2,iran_aligned,strike_claims,40,0.4444444444444444,0.11695906432748537
climax_w2,neutral,military_action,14,0.03139013452914798,0.30434782608695654
climax_w2,neutral,nuclear_program,23,0.16312056737588654,0.5
climax_w2,neutral,deterrence,3,0.075,0.06521739130434782
climax_w2,neutral,diplomacy,3,0.04477611940298507,0.06521739130434782
climax_w2,neutral,strike_claims,3,0.03333333333333333,0.06521739130434782
climax_w2,other,military_action,20,0.04484304932735426,0.5
climax_w2,other,nuclear_program,4,0.028368794326241134,0.1
climax_w2,other,deterrence,3,0.075,0.075
climax_w2,other,diplomacy,7,0.1044776119402985,0.175
climax_w2,other,strike_claims,6,0.06666666666666667,0.15
aftermath_jun-jul,us_aligned,military_action,850,0.45698924731182794,0.4063097514340344
aftermath_jun-jul,us_aligned,nuclear_program,450,0.33088235294117646,0.21510516252390058
aftermath_jun-jul,us_aligned,deterrence,135,0.4179566563467492,0.06453154875717017
aftermath_jun-jul,us_aligned,diplomacy,308,0.34684684684684686,0.14722753346080306
aftermath_jun-jul,us_aligned,strike_claims,349,0.455019556714472,0.16682600382409177
aftermath_jun-jul,iran_aligned,military_action,771,0.41451612903225804,0.340999557717824
aftermath_jun-jul,iran_aligned,nuclear_program,637,0.46838235294117647,0.28173374613003094
aftermath_jun-jul,iran_aligned,deterrence,130,0.4024767801857585,0.05749668288367979
aftermath_jun-jul,iran_aligned,diplomacy,420,0.47297297297297297,0.18575851393188855
aftermath_jun-jul,iran_aligned,strike_claims,303,0.39504563233376794,0.13401149933657674
aftermath_jun-jul,neutral,military_action,131,0.07043010752688172,0.22128378378378377
aftermath_jun-jul,neutral,nuclear_program,225,0.16544117647058823,0.38006756756756754
aftermath_jun-jul,neutral,deterrence,36,0.11145510835913312,0.060810810810810814
aftermath_jun-jul,neutral,diplomacy,118,0.13288288288288289,0.19932432432432431
aftermath_jun-jul,neutral,strike_claims,82,0.10691003911342895,0.13851351351351351
aftermath_jun-jul,other,military_action,108,0.05806451612903226,0.4268774703557312
aftermath_jun-jul,other,nuclear_program,48,0.03529411764705882,0.18972332015810275
aftermath_jun-jul,other,deterrence,22,0.06811145510835913,0.08695652173913043
aftermath_jun-jul,other,diplomacy,42,0.0472972972972973,0.16600790513833993
aftermath_jun-jul,other,strike_claims,33,0.04302477183833116,0.13043478260869565
aftermath_aug,us_aligned,military_action,226,0.49130434782608695,0.4072072072072072
aftermath_aug,us_aligned,nuclear_program,141,0.28256513026052105,0.25405405405405407
aftermath_aug,us_aligned,deterrence,22,0.21359223300970873,0.03963963963963964
aftermath_aug,us_aligned,diplomacy,111,0.2336842105263158,0.2
aftermath_aug,us_aligned,strike_claims,55,0.4074074074074074,0.0990990990990991
aftermath_aug,iran_aligned,military_action,177,0.3847826086956522,0.2507082152974504
aftermath_aug,iran_aligned,nuclear_program,220,0.4408817635270541,0.311614730878187
aftermath_aug,iran_aligned,deterrence,45,0.4368932038834951,0.06373937677053824
