window,actor,out_degree,in_degree,out_weight,in_weight,agent_ratio,pagerank
climax_w1,DEMOCRATS,0,0,0,0,,0.0094
climax_w1,EU,0,1,0,1,0.0,0.0196
climax_w1,FRANCE,0,0,0,0,,0.0094
climax_w1,GAZA,0,0,0,0,,0.0094
climax_w1,GERMANY,0,0,0,0,,0.0094
climax_w1,GROSSI,0,0,0,0,,0.0094
climax_w1,GULF_STATES,0,0,0,0,,0.0094
climax_w1,HAMAS,1,0,1,0,1.0,0.0094
climax_w1,HEGSETH,0,0,0,0,,0.0094
climax_w1,HEZBOLLAH,1,0,1,0,1.0,0.0094
climax_w1,HOUTHIS,1,0,2,0,1.0,0.0094
climax_w1,IAEA,1,0,1,0,1.0,0.0094
climax_w1,IRAN,2,6,3,64,0.0448,0.254
climax_w1,IRAQ,0,0,0,0,,0.0094
climax_w1,ISRAEL,2,5,37,12,0.7551,0.1615
climax_w1,KHAMENEI,2,2,2,2,0.5,0.0142
climax_w1,LEBANON,0,0,0,0,,0.0094
climax_w1,NATO,0,0,0,0,,0.0094
climax_w1,NETANYAHU,1,1,1,1,0.5,0.0104
climax_w1,OBAMA,0,0,0,0,,0.0094
climax_w1,OMAN,0,0,0,0,,0.0094
climax_w1,PEZESHKIAN,0,0,0,0,,0.0094
climax_w1,PUTIN,0,0,0,0,,0.0094
climax_w1,QATAR,0,0,0,0,,0.0094
climax_w1,REPUBLICANS,0,0,0,0,,0.0094
climax_w1,RUBIO,1,0,4,0,1.0,0.0094
climax_w1,RUSSIA,0,0,0,0,,0.0094
climax_w1,SAUDI_ARABIA,0,0,0,0,,0.0094
climax_w1,SYRIA,0,0,0,0,,0.0094
climax_w1,TRUMP,4,2,20,2,0.9091,0.0235
climax_w1,UAE,0,0,0,0,,0.0094
climax_w1,UK,0,0,0,0,,0.0094
climax_w1,UKRAINE,0,0,0,0,,0.0094
climax_w1,UN_SECURITY_COUNCIL,0,0,0,0,,0.0094
climax_w1,USA,3,3,14,5,0.7368,0.1674
climax_w1,US_CONGRESS,0,0,0,0,,0.0094
climax_w1,US_SENATE,0,0,0,0,,0.0094
climax_w1,VANCE,0,0,0,0,,0.0094
climax_w1,WITKOFF,0,0,0,0,,0.0094
climax_w1,YEMEN,0,0,0,0,,0.0094
