window,actor,metric,value,centrality_method
buildup_apr,UKRAINE,betweenness_centrality,0.0,exact
buildup_apr,US_CONGRESS,betweenness_centrality,0.0,exact
buildup_apr,HAMAS,betweenness_centrality,0.0,exact
buildup_apr,UAE,betweenness_centrality,0.0008556288686581848,exact
buildup_apr,SYRIA,betweenness_centrality,0.0,exact
buildup_apr,DEMOCRATS,betweenness_centrality,0.0,exact
buildup_apr,OMAN,betweenness_centrality,0.0030603768468393756,exact
buildup_apr,PUTIN,betweenness_centrality,0.0,exact
buildup_apr,HEZBOLLAH,betweenness_centrality,0.0,exact
buildup_apr,NATO,betweenness_centrality,0.0,exact
buildup_apr,UN_SECURITY_COUNCIL,betweenness_centrality,0.0,exact
buildup_apr,OBAMA,betweenness_centrality,0.0,exact
buildup_apr,NETANYAHU,betweenness_centrality,0.0015037772041373956,exact
buildup_apr,GERMANY,betweenness_centrality,0.004261015679838757,exact
buildup_apr,US_SENATE,betweenness_centrality,0.0,exact
buildup_apr,VANCE,betweenness_centrality,0.0,exact
buildup_apr,IRAQ,betweenness_centrality,0.0,exact
buildup_apr,IRAN,betweenness_centrality,0.006238733446542375,exact
buildup_apr,BAHRAIN,betweenness_centrality,0.0,exact
buildup_apr,HOUTHIS,betweenness_centrality,0.0,exact
buildup_apr,TRUMP,betweenness_centrality,0.0030603768468393756,exact
buildup_apr,PEZESHKIAN,betweenness_centrality,0.0030603768468393756,exact
buildup_apr,CHINA,betweenness_centrality,0.0019023231035346013,exact
buildup_apr,REPUBLICANS,betweenness_centrality,0.0,exact
buildup_apr,USA,betweenness_centrality,0.0030603768468393756,exact
buildup_apr,GAZA,betweenness_centrality,0.0012168049531529124,exact
buildup_apr,SAUDI_ARABIA,betweenness_centrality,0.0,exact
buildup_apr,YEMEN,betweenness_centrality,0.0,exact
buildup_apr,HEGSETH,betweenness_centrality,0.0,exact
buildup_apr,RUSSIA,betweenness_centrality,0.0030603768468393756,exact
buildup_apr,ARAGHCHI,betweenness_centrality,0.006238733446542375,exact
buildup_apr,LEBANON,betweenness_centrality,0.0,exact
buildup_apr,GULF_STATES,betweenness_centrality,0.0,exact
buildup_apr,GROSSI,closeness_centrality,0.9978070175438597,exact
buildup_apr,RUBIO,closeness_centrality,0.0,exact
buildup_apr,FRANCE,closeness_centrality,1.0340909090909092,exact
buildup_apr,QATAR,closeness_centrality,0.0,exact
buildup_apr,EU,closeness_centrality,0.9978070175438597,exact
buildup_apr,ISRAEL,closeness_centrality,1.0340909090909092,exact
buildup_apr,UK,closeness_centrality,0.9978070175438597,exact
buildup_apr,WITKOFF,closeness_centrality,0.9323770491803279,exact
buildup_apr,IAEA,closeness_centrality,1.0340909090909092,exact
buildup_apr,BIDEN,closeness_centrality,0.0,exact
buildup_apr,KHAMENEI,closeness_centrality,0.9639830508474577,exact
buildup_apr,UKRAINE,closeness_centrality,0.875,exact
buildup_apr,US_CONGRESS,closeness_centrality,0.0,exact
buildup_apr,HAMAS,closeness_centrality,0.0,exact
buildup_apr,UAE,closeness_centrality,0.9323770491803279,exact
buildup_apr,SYRIA,closeness_centrality,0.875,exact
buildup_apr,DEMOCRATS,closeness_centrality,0.0,exact
buildup_apr,OMAN,closeness_centrality,0.9978070175438597,exact
buildup_apr,PUTIN,closeness_centrality,0.0,exact
buildup_apr,HEZBOLLAH,closeness_centrality,0.0,exact
buildup_apr,NATO,closeness_centrality,0.7386363636363636,exact
buildup_apr,UN_SECURITY_COUNCIL,closeness_centrality,0.875,exact
buildup_apr,OBAMA,closeness_centrality,0.0,exact
buildup_apr,NETANYAHU,closeness_centrality,0.9323770491803279,exact
buildup_apr,GERMANY,closeness_centrality,0.9978070175438597,exact
buildup_apr,US_SENATE,closeness_centrality,0.0,exact
buildup_apr,VANCE,closeness_centrality,0.0,exact
buildup_apr,IRAQ,closeness_centrality,0.0,exact
buildup_apr,IRAN,closeness_centrality,1.0340909090909092,exact
buildup_apr,BAHRAIN,closeness_centrality,0.875,exact
buildup_apr,HOUTHIS,closeness_centrality,0.0,exact
buildup_apr,TRUMP,closeness_centrality,0.9978070175438597,exact
buildup_apr,PEZESHKIAN,closeness_centrality,0.9978070175438597,exact
buildup_apr,CHINA,closeness_centrality,0.9639830508474577,exact
buildup_apr,REPUBLICANS,closeness_centrality,0.0,exact
buildup_apr,USA,closeness_centrality,0.9978070175438597,exact
buildup_apr,GAZA,closeness_centrality,0.9027777777777778,exact
buildup_apr,SAUDI_ARABIA,closeness_centrality,0.875,exact
buildup_apr,YEMEN,closeness_centrality,0.0,exact
buildup_apr,HEGSETH,closeness_centrality,0.0,exact
buildup_apr,RUSSIA,closeness_centrality,0.9978070175438597,exact
buildup_apr,ARAGHCHI,closeness_centrality,1.0340909090909092,exact
buildup_apr,LEBANON,closeness_centrality,0.0,exact
buildup_apr,GULF_STATES,closeness_centrality,0.0,exact
buildup_apr,GROSSI,eigenvector_katz,0.07788589265634609,katz_fallback
buildup_apr,RUBIO,eigenvector_katz,0.05077173284504995,katz_fallback
buildup_apr,FRANCE,eigenvector_katz,0.08279221734172497,katz_fallback
buildup_apr,QATAR,eigenvector_katz,0.05077173284504995,katz_fallback
buildup_apr,EU,eigenvector_katz,0.058982946523295256,katz_fallback
buildup_apr,ISRAEL,eigenvector_katz,0.0850031208755257,katz_fallback
buildup_apr,UK,eigenvector_katz,0.056946950247052264,katz_fallback
buildup_apr,WITKOFF,eigenvector_katz,0.05494142810778196,katz_fallback
buildup_apr,IAEA,eigenvector_katz,0.11912851804078504,katz_fallback
buildup_apr,BIDEN,eigenvector_katz,0.05077173284504995,katz_fallback
buildup_apr,KHAMENEI,eigenvector_katz,0.05546593159757802,katz_fallback
buildup_apr,UKRAINE,eigenvector_katz,0.05193425802847088,katz_fallback
buildup_apr,US_CONGRESS,eigenvector_katz,0.05077173284504995,katz_fallback
buildup_apr,HAMAS,eigenvector_katz,0.05077173284504995,katz_fallback
buildup_apr,UAE,eigenvector_katz,0.05726647847462381,katz_fallback
buildup_apr,SYRIA,eigenvector_katz,0.05193425802847088,katz_fallback
buildup_apr,DEMOCRATS,eigenvector_katz,0.05077173284504995,katz_fallback
buildup_apr,OMAN,eigenvector_katz,0.1123634011065212,katz_fallback
buildup_apr,PUTIN,eigenvector_katz,0.05077173284504995,katz_fallback
buildup_apr,HEZBOLLAH,eigenvector_katz,0.05077173284504995,katz_fallback
buildup_apr,NATO,eigenvector_katz,0.05446102263683025,katz_fallback
buildup_apr,UN_SECURITY_COUNCIL,eigenvector_katz,0.0530967832118918,katz_fallback
buildup_apr,OBAMA,eigenvector_katz,0.05077173284504995,katz_fallback
buildup_apr,NETANYAHU,eigenvector_katz,0.05507839705435971,katz_fallback
buildup_apr,GERMANY,eigenvector_katz,0.056946950247052264,katz_fallback
buildup_apr,US_SENATE,eigenvector_katz,0.05077173284504995,katz_fallback
buildup_apr,VANCE,eigenvector_katz,0.05077173284504995,katz_fallback
buildup_apr,IRAQ,eigenvector_katz,0.05077173284504995,katz_fallback
buildup_apr,IRAN,eigenvector_katz,0.5236078375087331,katz_fallback
buildup_apr,BAHRAIN,eigenvector_katz,0.0530967832118918,katz_fallback
buildup_apr,HOUTHIS,eigenvector_katz,0.05077173284504995,katz_fallback
buildup_apr,TRUMP,eigenvector_katz,0.13518994117146868,katz_fallback
buildup_apr,PEZESHKIAN,eigenvector_katz,0.06264314658769082,katz_fallback
buildup_apr,CHINA,eigenvector_katz,0.05833095129972899,katz_fallback
buildup_apr,REPUBLICANS,eigenvector_katz,0.05077173284504995,katz_fallback
buildup_apr,USA,eigenvector_katz,0.3095526261449639,katz_fallback
buildup_apr,GAZA,eigenvector_katz,0.0532628418858543,katz_fallback
buildup_apr,SAUDI_ARABIA,eigenvector_katz,0.05193425802847088,katz_fallback
buildup_apr,YEMEN,eigenvector_katz,0.05077173284504995,katz_fallback
buildup_apr,HEGSETH,eigenvector_katz,0.05077173284504995,katz_fallback
buildup_apr,RUSSIA,eigenvector_katz,0.06777926231721226,katz_fallback
buildup_apr,ARAGHCHI,eigenvector_katz,0.14068304145258068,katz_fallback
buildup_apr,LEBANON,eigenvector_katz,0.05077173284504995,katz_fallback
buildup_apr,GULF_STATES,eigenvector_katz,0.05077173284504995,katz_fallback
buildup_may,GROSSI,degree_centrality,0.2,exact
buildup_may,RUBIO,degree_centrality,0.4,exact
buildup_may,FRANCE,degree_centrality,0.8,exact
buildup_may,QATAR,degree_centrality,0.0,exact
buildup_may,EU,degree_centrality,0.8,exact
buildup_may,ISRAEL,degree_centrality,1.0,exact
buildup_may,UK,degree_centrality,0.8,exact
buildup_may,WITKOFF,degree_centrality,0.4,exact
buildup_may,IAEA,degree_centrality,1.0,exact
buildup_may,BIDEN,degree_centrality,0.0,exact
buildup_may,KHAMENEI,degree_centrality,0.4,exact
buildup_may,UKRAINE,degree_centrality,0.0,exact
buildup_may,US_CONGRESS,degree_centrality,0.2,exact
buildup_may,HAMAS,degree_centrality,0.0,exact
buildup_may,UAE,degree_centrality,0.0,exact
buildup_may,SYRIA,degree_centrality,0.2,exact
buildup_may,DEMOCRATS,degree_centrality,0.0,exact
buildup_may,OMAN,degree_centrality,0.6000000000000001,exact
buildup_may,PUTIN,degree_centrality,0.0,exact
buildup_may,HEZBOLLAH,degree_centrality,0.0,exact
buildup_may,NATO,degree_centrality,0.2,exact
buildup_may,UN_SECURITY_COUNCIL,degree_centrality,0.2,exact
buildup_may,OBAMA,degree_centrality,0.0,exact
buildup_may,NETANYAHU,degree_centrality,0.4,exact
buildup_may,GERMANY,degree_centrality,0.6000000000000001,exact
buildup_may,US_SENATE,degree_centrality,0.0,exact
buildup_may,VANCE,degree_centrality,0.0,exact
buildup_may,IRAQ,degree_centrality,0.4,exact
buildup_may,IRAN,degree_centrality,1.0,exact
buildup_may,BAHRAIN,degree_centrality,0.0,exact
buildup_may,HOUTHIS,degree_centrality,0.0,exact
buildup_may,TRUMP,degree_centrality,0.6000000000000001,exact
buildup_may,PEZESHKIAN,degree_centrality,1.0,exact
buildup_may,CHINA,degree_centrality,0.2,exact
buildup_may,REPUBLICANS,degree_centrality,0.0,exact
buildup_may,USA,degree_centrality,1.0,exact
buildup_may,GAZA,degree_centrality,0.6000000000000001,exact
buildup_may,SAUDI_ARABIA,degree_centrality,0.2,exact
buildup_may,YEMEN,degree_centrality,0.0,exact
buildup_may,HEGSETH,degree_centrality,0.0,exact
buildup_may,RUSSIA,degree_centrality,0.2,exact
buildup_may,ARAGHCHI,degree_centrality,0.8,exact
buildup_may,LEBANON,degree_centrality,0.2,exact
buildup_may,GULF_STATES,degree_centrality,0.0,exact
buildup_may,GROSSI,betweenness_centrality,0.0,exact
buildup_may,RUBIO,betweenness_centrality,0.0012098650535132618,exact
buildup_may,FRANCE,betweenness_centrality,0.011900368726438753,exact
buildup_may,QATAR,betweenness_centrality,0.0,exact
buildup_may,EU,betweenness_centrality,0.007810674333509901,exact
